date,cloud_cover,global_radiation,max_temp,mean_temp,min_temp,pressure
01-01-1979,2.0,52.0,2.3,-4.1,-7.5,101900.0
02-01-1979,6.0,27.0,1.6,-2.6,-7.5,102530.0
03-01-1979,5.0,13.0,1.3,-2.8,-7.2,102050.0
04-01-1979,8.0,13.0,-0.3,-2.6,-6.5,100840.0
05-01-1979,6.0,29.0,5.6,-0.8,-1.4,102250.0
06-01-1979,5.0,39.0,8.3,-0.5,-6.6,102780.0
07-01-1979,8.0,13.0,8.5,1.5,-5.3,102520.0
08-01-1979,8.0,15.0,5.8,6.9,5.3,101870.0
09-01-1979,4.0,50.0,5.2,3.7,1.6,101170.0
10-01-1979,7.0,30.0,4.9,3.3,1.4,98700.0
11-01-1979,1.0,55.0,2.9,2.6,0.3,98960.0
12-01-1979,3.0,54.0,2.0,0.4,-2.0,100650.0
13-01-1979,1.0,57.0,4.3,-2.6,-7.1,102350.0
14-01-1979,7.0,14.0,6.7,-0.6,-5.6,102700.0
16-01-1979,8.0,15.0,2.6,5.0,4.1,103100.0
17-01-1979,8.0,15.0,1.9,2.1,1.6,102220.0
18-01-1979,8.0,15.0,3.0,0.8,-0.2,101860.0
19-01-1979,8.0,16.0,7.2,0.8,-1.4,100910.0
20-01-1979,7.0,16.0,3.5,3.1,-1.0,100920.0
22-01-1979,8.0,16.0,0.3,-0.2,-1.8,101680.0
23-01-1979,7.0,17.0,2.9,-1.0,-2.3,100970.0
24-01-1979,3.0,54.0,5.6,-1.4,-5.6,101010.0
25-01-1979,8.0,17.0,2.8,0.6,-4.5,99660.0
26-01-1979,5.0,42.0,1.6,0.8,-1.1,99280.0
27-01-1979,4.0,39.0,4.5,-1.8,-5.2,99770.0
28-01-1979,7.0,47.0,4.8,0.0,-4.4,99470.0
29-01-1979,4.0,31.0,4.0,1.9,-1.0,98920.0
30-01-1979,5.0,30.0,7.3,0.7,-2.6,100070.0
31-01-1979,5.0,38.0,9.1,2.1,-3.1,101390.0
01-02-1979,8.0,19.0,4.0,5.2,1.2,99490.0
02-02-1979,5.0,37.0,5.9,2.8,1.5,99890.0
03-02-1979,1.0,85.0,4.5,0.9,-4.1,100770.0
04-02-1979,8.0,23.0,6.0,1.6,-1.2,100060.0
05-02-1979,6.0,33.0,4.0,3.7,1.4,100250.0
06-02-1979,4.0,78.0,6.8,1.2,-1.6,101020.0
08-02-1979,6.0,45.0,4.0,2.0,0.3,100740.0
09-02-1979,8.0,22.0,3.5,2.4,0.8,100310.0
10-02-1979,8.0,23.0,2.9,2.8,2.1,99730.0
11-02-1979,8.0,23.0,5.4,2.4,1.9,99170.0
12-02-1979,8.0,27.0,8.1,2.8,0.3,98430.0
13-02-1979,8.0,24.0,0.2,4.2,0.3,98130.0
14-02-1979,6.0,54.0,-0.8,-0.2,-0.7,99380.0
15-02-1979,7.0,25.0,0.6,-2.2,-3.7,100830.0
16-02-1979,8.0,25.0,-0.8,-1.2,-3.1,102270.0
17-02-1979,8.0,26.0,0.7,-1.2,-1.5,102180.0
18-02-1979,8.0,26.0,1.9,-0.6,-1.8,101970.0
19-02-1979,8.0,27.0,2.8,0.5,-0.9,102530.0
21-02-1979,8.0,28.0,7.4,2.1,0.6,102640.0
22-02-1979,5.0,63.0,8.7,4.3,1.2,102790.0
23-02-1979,4.0,104.0,5.5,4.4,0.2,103430.0
24-02-1979,4.0,58.0,6.9,2.9,0.3,104130.0
25-02-1979,3.0,112.0,6.7,1.8,-3.4,104270.0
27-02-1979,6.0,85.0,6.1,3.7,-1.5,102090.0
28-02-1979,6.0,64.0,9.7,4.4,2.7,100040.0
01-03-1979,4.0,115.0,11.9,3.5,-2.7,101100.0
02-03-1979,8.0,35.0,12.6,6.8,1.6,101640.0
03-03-1979,8.0,40.0,10.5,11.0,9.4,101850.0
04-03-1979,4.0,140.0,11.0,7.4,4.3,102410.0
05-03-1979,4.0,121.0,9.0,5.4,-0.1,102730.0
06-03-1979,6.0,95.0,9.4,6.3,3.6,100950.0
07-03-1979,2.0,133.0,10.5,5.6,1.9,100800.0
08-03-1979,4.0,113.0,11.0,5.6,0.7,101590.0
09-03-1979,6.0,72.0,11.5,7.8,4.5,99940.0
10-03-1979,7.0,40.0,13.8,5.8,0.0,100740.0
11-03-1979,7.0,48.0,10.7,8.2,2.7,100110.0
12-03-1979,5.0,115.0,4.9,7.2,3.7,100880.0
13-03-1979,8.0,42.0,3.8,4.6,4.4,100800.0
14-03-1979,8.0,43.0,2.5,2.8,1.8,100580.0
15-03-1979,8.0,43.0,1.3,1.8,1.2,100020.0
16-03-1979,8.0,44.0,6.9,0.7,0.1,99160.0
17-03-1979,5.0,116.0,9.1,3.5,0.1,99460.0
18-03-1979,6.0,119.0,6.1,5.1,1.1,99970.0
19-03-1979,7.0,54.0,11.0,4.2,2.4,100230.0
20-03-1979,6.0,116.0,8.5,7.0,3.0,99550.0
21-03-1979,4.0,149.0,9.6,5.7,2.9,99490.0
22-03-1979,4.0,143.0,9.2,5.0,0.5,100520.0
23-03-1979,1.0,194.0,11.5,3.1,-3.0,101660.0
24-03-1979,5.0,158.0,15.3,5.0,-1.6,101330.0
25-03-1979,7.0,70.0,8.0,10.2,5.0,99040.0
26-03-1979,7.0,85.0,11.3,6.2,4.3,98870.0
27-03-1979,6.0,148.0,8.1,7.2,3.0,98270.0
28-03-1979,7.0,114.0,7.6,4.8,1.4,98400.0
29-03-1979,8.0,74.0,7.6,4.8,1.9,99540.0
30-03-1979,8.0,53.0,10.6,5.5,3.4,101330.0
31-03-1979,7.0,62.0,11.6,5.4,0.3,101270.0
