Day,Month,Year,demand,RRP,min_temperature,max_temperature,solar_exposure,school_day
1,1,2015,99635.03,25.63,13.3,26.9,23.6,N
2,1,2015,129606.01,33.14,15.4,38.8,26.8,N
3,1,2015,142300.54,34.56,20.0,38.2,26.5,N
4,1,2015,104330.72,25.01,16.3,21.4,25.2,N
5,1,2015,118132.2,26.72,15.0,22.0,30.7,N
6,1,2015,130672.48,31.28,17.7,26.0,31.6,N
7,1,2015,153514.82,48.31,18.9,37.4,20.7,N
8,1,2015,142015.66,49.12,23.1,28.2,13.5,N
9,1,2015,121801.15,34.49,16.5,18.0,3.1,N
10,1,2015,103043.66,20.23,13.6,21.7,5.6,N
11,1,2015,99865.76,18.23,15.6,27.5,29.9,N
12,1,2015,131261.13,33.69,16.1,31.3,31.6,N
13,1,2015,126527.36,27.54,20.2,25.6,4.2,N
14,1,2015,119741.62,29.02,18.3,22.7,15.2,N
15,1,2015,118411.22,30.94,15.8,20.0,14.6,N
16,1,2015,116690.76,23.02,13.1,27.3,30.3,N
17,1,2015,99371.31,18.99,15.9,25.0,27.5,N
18,1,2015,97728.75,17.01,15.3,19.5,23.4,N
19,1,2015,116883.15,26.93,13.5,23.6,29.0,N
20,1,2015,128968.12,23.08,13.0,30.4,19.6,N
21,1,2015,148702.5,34.44,19.7,33.1,25.8,N
22,1,2015,153232.1,35.23,18.7,35.8,23.1,N
23,1,2015,138095.2,40.6,20.2,25.0,28.6,N
24,1,2015,116310.59,20.92,15.8,26.3,30.3,N
25,1,2015,97959.46,16.54,14.7,22.0,25.4,N
26,1,2015,103769.48,16.94,11.6,19.8,19.9,N
27,1,2015,118393.31,21.21,11.7,19.1,17.7,N
28,1,2015,116763.72,17.02,13.3,25.4,27.0,N
29,1,2015,119313.73,19.62,12.8,22.2,28.9,Y
30,1,2015,121018.15,21.03,13.1,21.0,27.6,Y
31,1,2015,103822.97,16.54,14.3,20.2,26.2,Y
1,2,2015,100178.84,14.58,13.2,19.0,17.3,Y
2,2,2015,118694.16,22.27,13.5,21.1,23.9,Y
3,2,2015,122880.13,27.0,16.1,20.0,22.7,Y
4,2,2015,117398.03,27.81,14.8,19.0,21.2,Y
5,2,2015,122279.43,31.38,13.3,24.2,28.8,Y
6,2,2015,141837.0,38.84,14.5,35.7,28.4,Y
7,2,2015,132138.37,28.76,18.8,35.0,16.1,Y
8,2,2015,112108.22,23.97,18.9,21.5,16.6,Y
9,2,2015,126813.08,28.91,13.6,28.3,28.6,Y
10,2,2015,145948.56,37.52,16.4,27.8,27.7,Y
11,2,2015,149322.85,32.66,18.1,26.8,24.1,Y
12,2,2015,131376.78,26.58,17.8,21.9,23.8,Y
13,2,2015,136070.62,18.74,16.1,32.4,14.9,Y
14,2,2015,119692.02,20.24,19.0,25.1,20.8,Y
15,2,2015,125287.71,24.58,18.2,34.4,25.7,Y
16,2,2015,131832.63,31.95,17.4,24.6,26.3,Y
17,2,2015,127666.01,30.25,17.6,20.6,8.3,Y
18,2,2015,125972.76,30.24,17.7,21.2,7.8,Y
19,2,2015,139399.69,33.6,18.2,26.9,24.7,Y
20,2,2015,139465.67,33.54,17.4,25.3,24.7,Y
21,2,2015,136283.03,31.25,18.1,36.1,20.0,Y
22,2,2015,138016.35,32.41,20.3,35.3,11.7,Y
23,2,2015,135255.82,28.42,21.1,29.3,4.7,Y
24,2,2015,120263.51,26.56,15.9,20.1,21.4,Y
25,2,2015,130062.75,33.32,14.0,27.0,24.1,Y
26,2,2015,131525.85,39.09,16.0,23.2,18.5,Y
27,2,2015,131069.4,36.34,14.8,24.3,21.7,Y
28,2,2015,116275.73,25.14,17.9,32.3,6.9,Y
1,3,2015,103462.78,24.59,15.2,20.8,23.3,Y
2,3,2015,123301.84,33.17,11.6,23.0,22.0,Y
3,3,2015,126750.29,43.74,15.5,22.7,21.2,Y
4,3,2015,120764.18,37.25,15.4,23.5,23.0,Y
5,3,2015,114967.34,25.32,12.6,18.6,22.5,Y
6,3,2015,117053.75,27.75,14.1,21.1,10.8,Y
7,3,2015,108344.58,22.11,15.4,22.6,10.8,Y
8,3,2015,106348.78,20.57,16.2,24.4,20.4,Y
9,3,2015,108282.48,23.81,14.4,23.8,18.6,Y
10,3,2015,125828.53,31.76,16.2,21.7,22.1,Y
11,3,2015,124418.42,33.6,11.2,23.8,22.3,Y
12,3,2015,121683.65,26.04,13.0,19.9,18.7,Y
13,3,2015,120929.82,24.2,14.4,20.4,21.2,Y
14,3,2015,108738.82,17.39,9.4,30.1,20.0,Y
15,3,2015,100170.3,14.37,13.1,18.3,17.5,Y
16,3,2015,123787.08,22.66,10.5,25.5,14.5,Y
17,3,2015,125600.86,21.39,13.0,26.2,4.8,Y
18,3,2015,127975.82,24.44,17.8,24.4,9.4,Y
19,3,2015,128319.45,24.57,16.5,33.5,15.1,Y
20,3,2015,119491.32,24.07,14.2,19.6,19.9,Y
21,3,2015,106754.8,20.47,11.9,22.7,20.8,Y
22,3,2015,106555.03,18.92,11.3,28.8,19.9,Y
23,3,2015,122810.05,26.69,13.6,27.0,3.9,Y
24,3,2015,123234.93,34.06,12.6,15.3,3.8,Y
25,3,2015,122268.86,28.55,13.0,20.4,13.8,Y
26,3,2015,121998.2,21.97,9.8,18.0,9.9,Y
27,3,2015,122346.33,25.77,11.6,18.1,11.2,N
28,3,2015,112187.71,29.27,12.7,19.1,14.4,N
29,3,2015,106418.66,24.67,8.5,22.7,18.6,N
30,3,2015,123061.87,33.75,10.6,23.1,18.1,N
31,3,2015,125795.32,31.84,11.2,25.3,18.1,N
1,4,2015,122042.26,26.17,13.3,29.0,10.7,N
2,4,2015,113838.41,23.46,12.8,17.2,17.5,N
3,4,2015,98891.06,20.94,8.0,20.9,17.4,N
4,4,2015,103999.17,23.19,8.5,23.5,16.2,N
5,4,2015,103685.45,20.51,10.2,18.5,9.8,N
6,4,2015,107383.37,17.05,11.2,18.4,13.0,N
7,4,2015,120235.5,21.36,12.4,17.3,3.9,N
8,4,2015,122129.77,25.21,13.3,17.7,12.6,N
9,4,2015,123990.76,25.21,8.7,19.1,10.9,N
10,4,2015,121753.12,25.68,8.6,18.7,15.9,N
11,4,2015,110034.17,23.06,11.6,23.7,14.9,N
12,4,2015,103760.22,22.05,12.1,18.3,13.4,N
13,4,2015,125107.78,29.41,7.3,19.1,14.9,N
14,4,2015,127793.38,31.0,10.5,24.7,8.4,Y
15,4,2015,126673.93,31.09,13.9,27.6,12.8,Y
16,4,2015,126937.94,40.68,15.6,17.8,10.9,Y
17,4,2015,131031.42,33.99,10.1,17.1,7.5,Y
18,4,2015,109763.98,26.14,13.5,21.9,9.9,Y
19,4,2015,107160.54,24.54,9.7,14.7,11.0,Y
20,4,2015,126696.19,33.68,7.0,16.2,12.7,Y
21,4,2015,127973.58,30.47,6.5,17.7,13.8,Y
22,4,2015,128598.5,36.7,9.1,19.5,7.1,Y
23,4,2015,126483.8,35.42,12.2,19.2,7.5,Y
24,4,2015,126230.78,36.5,14.4,21.1,7.8,Y
25,4,2015,111803.62,25.98,11.6,15.0,3.5,Y
26,4,2015,108217.82,28.96,10.4,15.4,5.9,Y
27,4,2015,127855.22,48.67,10.5,15.1,8.3,Y
28,4,2015,132642.14,46.27,10.1,16.0,8.9,Y
29,4,2015,132814.62,39.83,7.4,17.1,12.6,Y
30,4,2015,132669.58,39.09,6.4,19.6,12.3,Y
1,5,2015,126304.44,47.47,7.9,23.1,12.1,Y
2,5,2015,108487.98,25.85,11.6,22.2,6.1,Y
3,5,2015,109233.34,30.63,9.7,18.2,11.2,Y
4,5,2015,122375.47,28.8,7.5,22.3,11.6,Y
5,5,2015,123734.86,27.38,9.2,18.1,7.1,Y
6,5,2015,129121.86,26.02,9.5,16.2,7.6,Y
7,5,2015,131237.18,29.08,10.3,15.6,6.9,Y
8,5,2015,131138.73,29.08,10.5,15.9,5.9,Y
9,5,2015,108377.05,19.6,12.8,18.7,7.3,Y
10,5,2015,103811.28,13.28,12.8,16.6,5.9,Y
11,5,2015,123740.24,28.48,12.4,15.9,7.9,Y
12,5,2015,129312.58,28.36,12.8,17.4,5.9,Y
13,5,2015,136903.27,33.6,6.3,12.8,8.7,Y
14,5,2015,135217.65,36.08,7.3,14.6,6.7,Y
15,5,2015,135172.41,32.89,11.5,14.5,6.2,Y
16,5,2015,117136.63,35.12,11.3,16.2,10.4,Y
17,5,2015,111897.09,30.55,7.4,20.5,10.3,Y
18,5,2015,127524.8,39.33,7.2,20.4,10.2,Y
19,5,2015,133235.48,34.04,9.9,16.2,3.2,Y
