date,cloud_cover,global_radiation,max_temp,mean_temp,min_temp,pressure
01-01-1979,5.0,39.0,8.0,5.2,1.8,101370.0
02-01-1979,7.0,39.0,4.0,2.2,1.0,100740.0
03-01-1979,5.0,29.0,5.3,-2.6,-7.5,102980.0
04-01-1979,4.0,13.0,0.3,-2.2,-7.5,102320.0
05-01-1979,6.0,39.0,4.5,-2.2,-5.5,102520.0
06-01-1979,6.0,39.0,8.3,1.8,-0.5,101870.0
07-01-1979,4.0,39.0,1.5,-1.2,-5.2,102520.0
08-01-1979,8.0,13.0,8.2,0.7,-1.5,102050.0
09-01-1979,6.0,29.0,2.4,-2.6,-7.1,99350.0
10-01-1979,7.0,13.0,2.2,-2.6,-7.2,100910.0
11-01-1979,4.0,14.0,9.0,-3.6,-7.2,102300.0
12-01-1979,4.0,31.0,4.0,1.4,-1.0,98920.0
13-01-1979,4.0,57.0,1.3,-2.6,-7.1,102350.0
14-01-1979,8.0,14.0,1.7,-0.6,-5.6,102360.0
15-01-1979,,15.0,6.2,3.8,1.5,102990.0
16-01-1979,8.0,15.0,2.5,1.8,-1.4,102790.0
17-01-1979,,15.0,2.9,0.3,-4.1,100840.0
18-01-1979,8.0,15.0,1.3,-0.2,-0.5,101870.0
19-01-1979,8.0,16.0,3.5,0.8,-1.2,100310.0
20-01-1979,,16.0,10.2,0.0,-3.5,102140.0
21-01-1979,8.0,16.0,3.5,3.6,0.3,103740.0
22-01-1979,8.0,16.0,5.8,3.0,2.6,100310.0
23-01-1979,7.0,31.0,8.4,6.0,2.4,100660.0
24-01-1979,5.0,54.0,5.9,-1.0,-3.1,101930.0
25-01-1979,8.0,21.0,8.1,0.7,-4.5,98430.0
26-01-1979,4.0,31.0,4.6,0.4,-0.8,98800.0
27-01-1979,7.0,20.0,2.8,1.6,-0.3,102730.0
28-01-1979,7.0,47.0,4.2,2.0,-2.7,99640.0
29-01-1979,8.0,18.0,4.0,3.3,1.9,99040.0
30-01-1979,7.0,19.0,1.3,0.5,-3.0,102270.0
31-01-1979,5.0,38.0,3.5,1.0,-1.5,98620.0
01-02-1979,4.0,70.0,4.3,1.3,-3.2,100970.0
02-02-1979,8.0,33.0,5.9,2.4,0.4,100250.0
03-02-1979,8.0,22.0,4.0,3.3,-0.2,99470.0
04-02-1979,5.0,34.0,3.2,2.8,1.5,100740.0
05-02-1979,8.0,22.0,3.8,-1.2,-0.7,102610.0
06-02-1979,8.0,21.0,6.8,1.2,1.5,100250.0
07-02-1979,7.0,33.0,3.5,1.6,-2.4,102620.0
08-02-1979,4.0,45.0,4.8,2.0,0.3,100740.0
09-02-1979,8.0,23.0,4.0,2.4,2.1,99730.0
10-02-1979,8.0,23.0,1.9,2.8,2.8,100900.0
11-02-1979,7.0,23.0,5.7,2.0,0.5,99890.0
12-02-1979,8.0,27.0,4.4,2.8,1.9,103590.0
13-02-1979,8.0,24.0,0.2,0.3,-1.4,98130.0
14-02-1979,6.0,27.0,6.4,1.5,-2.2,102720.0
15-02-1979,5.0,71.0,4.6,-1.2,-7.4,102090.0
16-02-1979,,25.0,3.6,0.1,-3.1,102990.0
17-02-1979,8.0,26.0,1.1,0.8,-0.9,100250.0
18-02-1979,6.0,54.0,5.8,-0.8,-1.7,99310.0
19-02-1979,8.0,27.0,1.5,0.5,-3.1,102530.0
20-02-1979,8.0,27.0,4.8,1.6,-0.9,102530.0
21-02-1979,,28.0,3.8,3.3,1.6,103290.0
22-02-1979,8.0,28.0,5.7,2.1,1.6,103290.0
23-02-1979,6.0,30.0,7.2,1.6,0.5,102960.0
24-02-1979,6.0,58.0,5.8,4.3,1.0,102090.0
25-02-1979,5.0,55.0,4.0,5.0,0.4,102260.0
26-02-1979,,59.0,12.6,4.3,1.6,100290.0
27-02-1979,8.0,31.0,4.9,,-1.6,99730.0
28-02-1979,6.0,55.0,6.9,1.5,0.3,101390.0
01-03-1979,8.0,35.0,11.5,9.9,6.9,101490.0
02-03-1979,6.0,121.0,7.4,7.0,4.0,100480.0
03-03-1979,6.0,85.0,7.1,7.6,4.5,100950.0
04-03-1979,4.0,140.0,11.3,4.7,1.9,102410.0
05-03-1979,4.0,121.0,9.2,5.8,-1.0,102920.0
06-03-1979,6.0,95.0,9.4,6.5,3.6,100950.0
07-03-1979,7.0,45.0,8.0,4.8,-0.2,100110.0
08-03-1979,8.0,35.0,4.7,1.6,-1.4,101490.0
09-03-1979,4.0,153.0,12.5,5.0,-1.0,102060.0
10-03-1979,4.0,151.0,11.1,5.3,-3.0,102360.0
11-03-1979,5.0,55.0,9.1,5.0,1.7,101710.0
12-03-1979,6.0,72.0,8.1,6.8,1.8,99970.0
13-03-1979,,151.0,11.0,3.6,0.7,100840.0
14-03-1979,4.0,113.0,12.7,5.5,1.1,101020.0
15-03-1979,7.0,44.0,8.5,3.8,1.2,99960.0
16-03-1979,8.0,44.0,6.9,0.7,0.1,99160.0
17-03-1979,6.0,116.0,8.1,7.4,1.1,99970.0
18-03-1979,5.0,125.0,6.9,4.2,0.5,100840.0
19-03-1979,5.0,51.0,8.9,3.8,1.1,100230.0
20-03-1979,6.0,116.0,8.4,6.6,1.4,98400.0
21-03-1979,4.0,140.0,9.7,5.7,2.9,99490.0
22-03-1979,5.0,144.0,9.6,7.4,4.3,99490.0
23-03-1979,6.0,125.0,11.6,7.4,5.9,100930.0
24-03-1979,4.0,144.0,9.6,4.4,-1.0,98270.0
25-03-1979,6.0,85.0,11.1,5.5,0.4,99540.0
26-03-1979,7.0,85.0,8.5,5.8,4.2,99040.0
27-03-1979,8.0,62.0,9.1,6.4,3.1,99040.0
28-03-1979,8.0,52.0,11.0,5.4,4.3,98980.0
29-03-1979,5.0,140.0,7.1,6.6,3.7,100320.0
30-03-1979,8.0,53.0,11.1,5.8,3.7,101330.0
31-03-1979,7.0,62.0,7.6,5.4,1.7,101270.0
01-04-1979,5.0,87.0,12.7,8.7,6.2,99820.0
02-04-1979,7.0,107.0,9.5,6.8,3.4,100830.0
03-04-1979,6.0,112.0,9.3,5.8,1.8,101480.0
04-04-1979,4.0,160.0,8.8,4.8,-0.2,100890.0
05-04-1979,6.0,92.0,9.1,6.2,3.7,102630.0
06-04-1979,8.0,63.0,9.3,6.8,5.5,100480.0
07-04-1979,6.0,116.0,8.1,4.0,0.0,100270.0
08-04-1979,7.0,107.0,10.6,4.4,0.9,100370.0
09-04-1979,6.0,112.0,11.3,5.3,0.2,101160.0
10-04-1979,6.0,107.0,7.9,9.1,5.9,100920.0
11-04-1979,4.0,187.0,17.4,15.0,10.3,102540.0
12-04-1979,6.0,63.0,9.2,5.8,0.0,101740.0
13-04-1979,5.0,147.0,12.5,7.4,3.6,102560.0
14-04-1979,6.0,176.0,13.5,8.9,4.2,101960.0
15-04-1979,5.0,205.0,21.3,12.6,8.6,102000.0
16-04-1979,6.0,219.0,15.8,11.4,8.6,102060.0
17-04-1979,7.0,96.0,14.6,9.0,6.3,103190.0
18-04-1979,5.0,192.0,14.6,12.8,8.4,100540.0
19-04-1979,6.0,127.0,11.0,5.8,,100920.0
20-04-1979,6.0,190.0,12.0,11.0,7.4,101.0
21-04-1979,8.0,119.0,13.6,11.8,6.6,100710.0
22-04-1979,6.0,80.0,12.5,8.0,5.4,100830.0
23-04-1979,7.0,80.0,12.3,8.8,5.5,101900.0
24-04-1979,6.0,114.0,17.4,9.4,8.6,102320.0
25-04-1979,6.0,186.0,18.6,11.4,7.5,102470.0
26-04-1979,4.0,139.0,11.7,6.3,4.4,101480.0
27-04-1979,6.0,139.0,11.4,9.3,6.7,100820.0
28-04-1979,4.0,237.0,15.6,10.0,4.5,102330.0
29-04-1979,7.0,76.0,11.1,6.3,2.5,101950.0
30-04-1979,7.0,237.0,16.7,10.6,6.0,100920.0
01-05-1979,4.0,237.0,13.6,10.8,4.5,102300.0
