date,demand,RRP,min_temperature,max_temperature,solar_exposure,school_day
2015-01-01,99635.03,25.63369643387471,15.2,26.9,23.6,N
2015-01-02,122575.93499999998,35.552542869038696,15.5,23.5,19.3,Y
2015-01-03,142300.53999999998,34.56485482908218,13.6,26.0,26.5,N
2015-01-04,94081.56499999996,25.00861360246293,13.5,29.5,8.4,N
2015-01-05,116211.99,30.494174108733336,15.4,23.3,23.3,N
2015-01-06,119125.62,31.598182306207523,5.8,17.4,8.0,Y
2015-01-07,129606.00999999994,33.13898756122499,15.4,38.8,27.3,N
2015-01-08,142015.65500000006,49.11728029878114,23.1,28.2,13.5,N
2015-01-09,128612.29999999994,44.77064553779071,15.6,25.4,28.4,N
2015-01-10,131261.12500000006,33.69481017437569,16.3,33.1,31.6,N
2015-01-11,104269.79,18.272654828881887,11.9,16.8,25.2,N
2015-01-12,131261.12500000006,33.69481017437569,16.1,31.3,31.6,N
2015-01-13,126813.07500000006,27.537864268645148,20.3,19.6,2.6,N
2015-01-14,129606.00999999994,33.13898756122499,15.4,38.8,26.8,N
2015-01-15,155060.61000000004,36.02869125900082,14.1,36.0,18.8,N
2015-01-16,116690.76499999994,23.01519087693016,13.1,27.3,30.3,N
2015-01-17,135930.08,78.64591998511294,15.6,27.5,32.5,Y
2015-01-18,125972.435,30.23579275091724,16.9,18.7,10.2,N
2015-01-19,112371.41,62.885130354331245,13.5,26.9,29.2,N
2015-01-20,139465.675,33.538671531902025,25.3,36.0,24.7,N
2015-01-21,133287.58500000002,186.91763222021007,19.1,38.2,26.1,Y
2015-01-22,129135.185,42.33773276779679,17.5,22.8,6.5,N
2015-01-23,132138.36500000002,28.761706782507872,18.8,35.0,16.1,N
2015-01-24,126330.55000000002,26.85450220394037,15.3,29.4,29.0,Y
2015-01-25,116883.14999999998,17.927876193873967,13.5,33.3,23.9,N
2015-01-26,97959.46000000004,16.8541417703813387,15.3,19.4,19.6,N
2015-01-27,131031.41500000002,33.98750481821477,11.7,19.1,7.5,Y
2015-01-28,121796.71500000004,42.23609358327446,16.3,21.4,25.4,N
2015-01-29,121752.87500000006,25.67711079589216,8.6,25.6,28.5,N
2015-01-30,104330.715,25.00556023842067,16.3,21.4,25.2,N
2015-01-31,103822.97,16.538846727752063,14.3,20.2,26.2,Y
2015-02-01,135255.815,28.41722912763491,18.7,29.3,4.7,Y
2015-02-02,130350.675,33.32496815938428,17.6,22.6,28.1,Y
