day,month,year,cloud_cover,global_radiation,max_temp,mean_temp,min_temp,pressure
1,1,1979.0,6.0,48.0,2.4,1.4,-3.1,103030.0
2,1,1979.0,8.0,17.0,7.8,11.0,9.0,100140.0
3,1,1979.0,7.0,24.0,5.7,5.2,4.8,101280.0
4,1,1979.0,8.0,17.0,8.1,10.4,8.0,103410.0
5,1,1979.0,3.0,54.0,7.0,3.0,-0.5,103660.0
6,1,1979.0,8.0,13.0,6.6,3.8,-0.2,103500.0
7,1,1979.0,8.0,19.0,4.7,4.6,0.9,101560.0
8,1,1979.0,5.0,42.0,9.2,8.8,5.6,102950.0
9,1,1979.0,3.0,51.0,11.8,6.7,2.1,101290.0
10,1,1979.0,8.0,18.0,2.1,1.6,-1.5,102350.0
11,1,1979.0,7.0,21.0,5.9,3.2,2.0,101900.0
12,1,1979.0,5.0,46.0,10.0,4.6,0.2,101860.0
13,1,1979.0,4.0,58.0,11.6,10.4,8.0,103070.0
14,1,1979.0,6.0,15.0,7.3,4.2,1.8,103570.0
15,1,1979.0,3.0,47.0,3.5,1.9,-3.4,103440.0
16,1,1979.0,2.0,55.0,4.6,2.4,-1.0,99530.0
17,1,1979.0,8.0,20.0,3.3,4.0,2.6,102380.0
18,1,1979.0,6.0,31.0,7.7,3.4,-0.2,102710.0
19,1,1979.0,4.0,44.0,4.8,3.0,1.0,102970.0
20,1,1979.0,0.0,59.0,10.2,2.7,-2.4,102800.0
21,1,1979.0,8.0,16.0,11.8,10.2,8.1,99370.0
22,1,1979.0,2.0,91.0,10.4,5.4,3.6,102590.0
23,1,1979.0,6.0,43.0,4.6,5.6,2.6,102080.0
24,1,1979.0,7.0,18.0,3.2,2.0,-1.5,103460.0
25,1,1979.0,8.0,21.0,9.7,5.6,2.5,99980.0
26,1,1979.0,7.0,17.0,5.2,1.6,1.3,103140.0
27,1,1979.0,8.0,19.0,10.1,6.0,3.4,101390.0
28,1,1979.0,8.0,15.0,4.9,2.9,0.0,102560.0
29,1,1979.0,8.0,21.0,9.2,7.2,3.8,101190.0
30,1,1979.0,5.0,24.0,7.6,3.0,0.3,103700.0
31,1,1979.0,7.0,21.0,9.5,7.8,4.2,101740.0
1,2,1979.0,6.0,51.0,9.0,6.2,2.2,102760.0
2,2,1979.0,7.0,32.0,10.2,8.6,4.9,100920.0
3,2,1979.0,5.0,121.0,7.9,5.9,2.2,101620.0
4,2,1979.0,4.0,48.0,4.2,3.2,0.1,101140.0
5,2,1979.0,3.0,34.0,4.5,5.3,0.3,102880.0
6,2,1979.0,4.0,67.0,5.8,2.8,0.7,100750.0
7,2,1979.0,6.0,28.0,9.8,8.4,5.0,101390.0
8,2,1979.0,8.0,19.0,8.7,3.9,2.6,103640.0
9,2,1979.0,5.0,29.0,11.0,6.8,2.6,101970.0
10,2,1979.0,1.0,70.0,9.7,4.4,0.4,102080.0
11,2,1979.0,6.0,29.0,10.3,1.8,-3.7,103330.0
12,2,1979.0,8.0,25.0,11.5,9.4,8.5,103520.0
13,2,1979.0,6.0,39.0,12.9,12.0,8.1,102510.0
14,2,1979.0,7.0,29.0,11.5,4.8,-0.0,101360.0
15,2,1979.0,6.0,51.0,-0.5,-2.4,-4.8,101240.0
16,2,1979.0,7.0,28.0,11.5,6.2,0.8,101520.0
17,2,1979.0,8.0,31.0,12.9,7.8,1.5,102800.0
18,2,1979.0,6.0,45.0,8.6,3.9,-0.0,102210.0
19,2,1979.0,6.0,100.0,13.2,8.0,8.0,102830.0
20,2,1979.0,6.0,60.0,6.8,5.0,5.7,100750.0
21,2,1979.0,7.0,26.0,9.4,11.4,9.8,102310.0
22,2,1979.0,5.0,97.0,13.1,6.1,1.7,99040.0
23,2,1979.0,6.0,25.0,3.3,1.4,-1.9,102680.0
24,2,1979.0,8.0,24.0,9.6,6.8,3.4,102660.0
25,2,1979.0,5.0,45.0,5.0,3.9,1.3,101320.0
